MES,NOMBRE_MES,TOTAL_VENTAS,TOTAL_COMPRAS,BALANCE,TOTAL_VENTAS_M,TOTAL_COMPRAS_M,BALANCE_M,VENTAS_TARIFA_15,VENTAS_TARIFA_0,EXPORTACIONES,COMPRAS_TARIFA_15,COMPRAS_TARIFA_0,IMPORTACIONES,COMPRAS_RISE
1,Enero,16699616120.96,12768754592.0,3930861528.959999,16699.62,12768.75,3930.86,8450475213.61,5638940674.19,2610239264.72,6150638713.7,4450711901.24,1913529091.56,133551153.19
2,Febrero,16908511455.5,13087769289.2,3820742166.299999,16908.51,13087.77,3820.74,8920111837.99,5468858436.68,2519200587.12,6573320495.04,4430089598.36,1835340189.6399999,118067387.21
3,Marzo,19321828532.47,15379581169.460001,3942247363.01,19321.83,15379.58,3942.25,10847685211.45,5937105870.12,2522040583.29,8181470686.63,4832048159.26,2068944688.23,123394061.2
4,Abril,18584530756.94,14212636146.56,4371894610.379999,18584.53,14212.64,4371.89,9019364982.47,6192023084.81,3170494900.6,6737583953.89,5100808146.75,1954714280.3799999,122217723.02
5,Mayo,19104310879.7,14997421220.17,4106889659.5300007,19104.31,14997.42,4106.89,9499557329.13,6227280528.51,3163330963.78,7164811589.08,5398278708.83,2012723765.6100001,129910258.45
6,Junio,24866281705.65,19197742450.06,5668539255.59,24866.28,19197.74,5668.54,11332742068.32,10665485352.95,2636341241.0,9431375616.449999,7149544238.12,1930869167.64,323574557.98
7,Julio,18871022492.28,15013584750.92,3857437741.3599987,18871.02,15013.58,3857.44,9567229113.78,6135069655.04,2918437335.2,7319187140.54,5178069666.79,2020418638.84,137789081.25
8,Agosto,19202071357.37,15000852913.64,4201218443.7299995,19202.07,15000.85,4201.22,9604565289.26,6222213580.77,3125518560.66,7232540380.99,5182908558.56,2121972621.54,141858966.06
9,Septiembre,18660798499.670002,14876144096.38,3784654403.290003,18660.8,14876.14,3784.65,9558885148.029999,6194479685.64,2659455214.83,7274788045.64,4980940087.74,2128957471.16,140839841.75
10,Octubre,19680231321.920002,16153317228.95,3526914092.970001,19680.23,16153.32,3526.91,9883102444.83,6586047707.83,2943117676.63,7667751513.49,5679836549.5,2250614239.34,166404738.73
11,Noviembre,19831194193.03,16172277884.4,3658916308.629999,19831.19,16172.28,3658.92,10128890073.15,6556325712.76,2869647192.67,7796538189.0,5694758330.45,2098734954.24,198805013.57
12,Diciembre,31258071617.08,26124561315.4,5133510301.68,31258.07,26124.56,5133.51,14504354453.11,13207410287.31,3260270847.95,12437925592.25,10209813044.32,2196207052.11,707580893.24
