CODIGO_SECTOR_N1,TOTAL_VENTAS,TOTAL_COMPRAS,BALANCE,VENTAS_M,COMPRAS_M,PARTICIPACION_PCT,REGISTROS
G,109536768942.81999,87020936015.16,22515832927.65999,109536.77,87020.94,45.08,2659
C,34716910184.12,27327026803.49,7389883380.630001,34716.91,27327.03,14.29,2652
A,22191133272.54,16630764567.56,5560368704.980001,22191.13,16630.76,9.13,2658
H,12186774524.19,8824993620.61,3361780903.58,12186.77,8824.99,5.02,2652
M,9430172178.04,6215816279.33,3214355898.710001,9430.17,6215.82,3.88,2658
B,8307349544.75,4966789671.93,3340559872.8199997,8307.35,4966.79,3.42,1840
K,6816688813.6,6749069015.22,67619798.38000011,6816.69,6749.07,2.81,1742
F,5944183886.42,4841176667.66,1103007218.7600002,5944.18,4841.18,2.45,2652
J,5098746622.57,3681951611.78,1416795010.7899995,5098.75,3681.95,2.1,2483
Q,4728337654.17,4201493133.21,526844520.96000004,4728.34,4201.49,1.95,2565
N,4669242312.85,2535250125.56,2133992187.2900004,4669.24,2535.25,1.92,2621
D,4303963636.31,3385028374.55,918935261.7600002,4303.96,3385.03,1.77,1453
I,3345622052.7400002,2504196756.47,841425296.2700005,3345.62,2504.2,1.38,2647
L,3133957247.59,2382630284.76,751326962.8299999,3133.96,2382.63,1.29,2644
S,2919728701.8,2187577069.63,732151632.1700001,2919.73,2187.58,1.2,2652
