PROVINCIA,TOTAL_VENTAS,TOTAL_COMPRAS,BALANCE,VENTAS_M,COMPRAS_M,BALANCE_M,PARTICIPACION_PCT
PICHINCHA,93159021787.63,67916427079.28,25242594708.350006,93159.02,67916.43,25242.59,38.34
GUAYAS,85231960554.62,70574221597.19,14657738957.429993,85231.96,70574.22,14657.74,35.08
MANABI,10558398298.27,9249635847.56,1308762450.710001,10558.4,9249.64,1308.76,4.35
AZUAY,9437904620.61,7648752945.78,1789151674.8300009,9437.9,7648.75,1789.15,3.88
EL ORO,7225088848.95,6002016496.26,1223072352.6899996,7225.09,6002.02,1223.07,2.97
LOS RIOS,5494352606.16,4513747431.85,980605174.3099995,5494.35,4513.75,980.61,2.26
TUNGURAHUA,5071665593.84,4423729552.11,647936041.7300005,5071.67,4423.73,647.94,2.09
SANTO DOMINGO DE LOS TSACHILAS,4262931736.06,3713245691.73,549686044.3299999,4262.93,3713.25,549.69,1.75
ZAMORA CHINCHIPE,3266824543.37,2342216933.98,924607609.3899999,3266.82,2342.22,924.61,1.34
ESMERALDAS,2875680055.83,2274179472.69,601500583.1399999,2875.68,2274.18,601.5,1.18
